x,y,token
0.102084875,0.045029145,weymouth
0.3546269,0.26992515,madam
0.085098185,0.045704916,f
0.036288068,-0.08969614,c
0.19892348,0.09115957,coolly
-0.16986334,-0.18302889,whence
-0.1735176,-0.15341488,disagreement
-0.069531016,0.009857648,procuring
0.1769918,0.20465833,_he_
0.17886196,0.14130014,quarrelled
0.010876281,0.058021158,assist
0.1378883,0.08960201,danced
-0.1687717,-0.35573834,arms
-0.0074104364,0.09922203,estimate
0.08561399,0.036206715,lives
0.1893384,0.22228758,example
-0.094415046,-0.054331444,renewing
0.13166474,0.103459604,argument
-0.04200511,-0.034670316,bitterly
0.18621927,0.19770166,disappointed
0.37678385,0.2963815,ye
-0.19103903,-0.2644145,succeeded
0.026956487,0.08692432,english
-0.14315304,-0.09040185,calmness
-0.019530553,0.14066704,indifference
-0.069875866,0.031269483,requisite
-0.14739387,-0.0714646,subjects
-0.1375973,-0.12820564,occasionally
-0.026310205,0.011460882,communicative
0.21746755,0.18678132,curious
-0.16331027,-0.2538104,field
0.02148225,0.12394044,fail
-0.026984435,0.017679187,longest
-0.081417635,0.027395017,attachments
-0.1739319,-0.26305613,destination
-0.044463694,-0.15001088,spring
-0.0632571,0.048086405,equality
-0.101900324,0.028628543,rendered
0.068479665,-0.021965085,interrupting
0.21565208,0.11552382,tired
0.07667126,0.1658953,article
0.097814254,0.017983953,ordered
-0.23981409,-0.30328614,discourse
-0.10431895,-0.16051675,south
-0.08299571,0.03948494,weakness
0.19189312,0.19807933,throat
0.188887,0.15917064,miserable
0.30119058,0.26356974,tells
0.19784842,0.24296997,practice
-0.045228958,-0.15894009,calling
-0.07641709,0.037139304,attributed
0.16100594,0.14770547,applying
-0.10416075,-0.20658974,august
0.06565869,0.03765484,bateses
-0.014479134,-0.035607528,heavy
0.09936911,0.1421649,sickly
-0.12030094,-0.14534868,neighbourhood
-0.08359618,-0.22679761,pale
-0.06424144,-0.27511677,turning
0.1466289,0.12804466,fatigued
0.021751592,-0.010492442,intending
-0.06433037,0.0028727856,prejudice
-0.1197424,-0.17856571,accidentally
0.34707096,0.26985723,excessively
0.20485963,0.13622396,colonel
0.22226724,0.15799975,campbell
-0.19655651,-0.24847965,topic
-0.19503687,-0.14622742,similar
-0.20189668,-0.26657602,harmony
-0.2020766,-0.1745726,agitation
-0.1081174,-0.13531098,houses
0.1613512,0.20043857,unfortunately
-0.12945297,-0.057507634,recent
-0.17190714,-0.3381676,cook
-0.022311233,0.092247196,dangerous
-0.030585473,-0.17976585,shaking
-0.099988334,-0.124792986,fixing
-0.18890141,-0.28709507,ear
-0.060817566,0.014556047,consequences
-0.0061131795,0.010400894,restore
-0.21551378,-0.31818327,interval
0.09156532,0.16896836,moreover
0.11629766,0.089861594,holds
-0.1150515,-0.02287766,pure
-0.044647235,-0.14938281,lodgings
0.023560882,0.09337788,consulted
0.24768417,0.220046,travel
-0.20102659,-0.3157099,reached
-0.00012270932,-0.049465492,breaking
0.11701529,0.045307867,convey
-0.13930902,-0.26923135,moving
0.060976714,-0.06570174,cut
-0.17696719,-0.25221086,meadows
0.19254404,0.24326023,conceive
-0.15094094,-0.13483372,reflections
-0.086243905,-0.07601547,soothing
0.0031466126,0.1022174,renewal
0.023097035,0.12655592,engagement
-0.15296352,-0.102895714,avoiding
0.059362996,0.1200366,denial
-0.040189147,0.09440431,preference
-0.14204796,-0.08854382,division
-0.11193434,-0.08258818,occupy
-0.15366934,-0.24981983,carriages
-0.17352712,-0.16975042,numbers
0.23358247,0.2272661,sore
-0.033496827,0.013519721,representing
-0.17630817,-0.19593668,advanced
-0.12000991,-0.13374017,invalid
0.24231526,0.2138909,carry
-0.20277973,-0.22186013,glowing
-0.0533105,0.014866418,despatch
0.2250015,0.19661449,roast
0.050762385,0.12733838,complaint
-0.040927805,-0.028039115,heat
-0.07123301,-0.07530619,pulse
0.14129062,0.21321228,liable
-0.12311562,-0.056338497,alarm
-0.20249496,-0.19753559,excess
0.19117834,0.15828757,remain
-0.1899269,-0.27916682,snow
0.15390113,0.09247869,hoarse
-0.1346326,-0.025439987,previous
-0.043210723,-0.107269354,muttering
-0.16997859,-0.21320872,rejoicing
0.022750627,0.08812095,accepting
-0.14653559,-0.11437519,prompt
-0.20725697,-0.23953861,employments
-0.08730057,0.00014859042,duties
-0.19762038,-0.17002366,parting
-0.04072099,-0.051067557,assuring
0.076247856,0.009778156,news
-0.1422719,-0.071963504,prepared
0.092164874,0.085211456,works
0.2283684,0.2421443,overlook
-0.025921654,0.08045158,moderate
0.010759525,0.060291387,negligent
-0.1656684,-0.19459848,astonishment
0.043154113,0.040448863,imagining
0.02522276,0.16791724,behaviour
-0.025144825,-0.08207734,accordingly
0.11364875,0.13570751,ascertain
-0.09576993,-0.04116102,blunders
-0.14837556,-0.024194494,increasing
-0.14643316,-0.03704545,coldness
-0.11816592,-0.17234507,shrinking
-0.1689557,-0.24833182,punctually
-0.1509273,-0.23882392,motion
-0.1954734,-0.36099833,sky
-0.123069726,-0.3283353,white
-0.026957616,0.018502144,happiest
-0.049287084,-0.027612088,abroad
-0.024672318,0.08376262,sacrifice
-0.1243045,-0.2583966,drive
-0.086979575,-0.0121852765,expressing
0.033692606,0.11607537,encounter
0.121208355,0.15782334,absurdity
0.02226998,0.1394836,folly
-0.07984879,-0.11457456,shelter
0.27179116,0.2211644,dull
-0.09091723,-0.13367157,servants
-0.15361552,-0.26413193,rooms
-0.074257866,-0.081056036,assent
-0.04304007,0.007440814,usually
-0.11655865,-0.081598334,travelling
-0.17585655,-0.1943687,glasses
-0.1614761,-0.32217312,arrived
-0.06756347,-0.16059498,step
0.011571324,-0.102491096,spruce
-0.13696754,-0.28764918,dressing
-0.07303456,-0.05752368,dress
-0.03443928,0.032878533,flattered
0.10368545,0.14679076,cordial
-0.023688477,0.022819897,complaints
-0.17246439,-0.25311768,lasted
-0.13635182,-0.1810976,modern
-0.06549181,0.017361904,guarded
-0.06460328,-0.19634786,breath
-0.101756744,-0.23491985,afternoon
0.28855938,0.26600307,extremely
0.07819343,0.11962137,astonished
0.002913739,0.06711609,hospitable
-0.092275925,-0.10258032,accommodate
-0.07706891,-0.023469768,enter
-0.05799627,-0.032556973,paid
-0.13360888,-0.24451983,sweep
-0.21697184,-0.36302337,gate
-0.09338847,-0.110363185,joyous
0.081752226,0.1301345,related
-0.23817988,-0.31372455,arrangements
-0.15805621,-0.08283726,communication
0.29195997,0.24633342,enjoy
-0.17199136,-0.21747492,engrossed
-0.16108657,-0.2474677,elbow
-0.11588004,-0.0551162,continually
0.0012397682,0.113256045,avoid
0.07846621,0.15631557,absurd
0.11948714,0.13227677,insufferable
-0.12159256,-0.030523792,zeal
-0.10324104,-0.0041494127,effort
-0.117770426,-0.030409066,preserve
0.14382839,0.14794798,positively
-0.17681976,-0.2411499,amongst
-0.083836384,-0.07031498,overpowering
-0.11713079,0.029061157,sensations
-0.04880923,-0.012200926,timed
-0.13435224,-0.16224588,appearing
-0.08392303,-0.049537074,polite
-0.12329143,-0.0971448,substance
-0.15987892,-0.21616966,released
0.035204224,0.07231356,sacrifices
-0.11884409,-0.23552541,january
0.29062328,0.2639392,stir
0.24430263,0.19111115,nodding
-0.11679529,-0.090217724,whims
-0.0068091727,-0.09409459,).
-0.10046969,-0.059725784,stone
-0.028271819,-0.0169504,devil
0.1191594,0.19497146,wishing
0.019602243,0.13199893,sanguine
0.115881965,0.12562014,rules
0.29025912,0.23878047,spare
0.04210516,0.17271996,blessing
-0.12779355,-0.1437337,confinement
0.023500977,0.12023204,gladly
-0.04984368,-0.0055820514,apprehensive
-0.11762395,-0.10944725,delays
-0.09416124,-0.052552834,jealousy
-0.029817307,0.1009008,jealous
-0.0022763493,0.07384549,caution
-0.13446388,-0.089722976,nephew
0.020040328,0.018572692,awake
-0.010938096,-0.11108655,terror
-0.0019607246,0.02885519,infection
-0.13337345,-0.20762959,earnestness
-0.09065246,-0.16782288,chamber
0.028862048,0.059671037,learnt
-0.104714796,-0.062387947,concealing
-0.0732637,0.03821605,inconstancy
0.07584915,0.08943569,abominable
-0.079826325,-0.050456505,behaving
0.19007069,0.19583325,scrupulous
-0.019977968,0.10481906,careless
0.20741531,0.16640404,nurse
0.14851423,0.06595565,catching
0.2112608,0.23055877,complain
-0.030184396,0.019995803,assuming
0.26468882,0.16117057,offended
-0.18389711,-0.18855187,removing
0.059997298,0.057068434,reproof
0.105725996,0.12525453,succeed
-0.18485393,-0.3500034,examining
-0.19446267,-0.39637327,opened
-0.22642778,-0.32526177,covered
-0.14340475,-0.2750706,wind
0.26423684,0.28175712,prove
-0.13459721,-0.22952853,engagements
-0.13796748,-0.13704725,pursuing
0.108977266,0.14545135,confessing
-0.040988564,-0.017340451,lest
-0.19832374,-0.3039966,hurrying
-0.121259145,-0.057442375,accommodation
-0.17034912,-0.118065126,exclamation
-0.060686335,0.006381104,representation
-0.1327715,-0.13134311,revived
-0.19769177,-0.38411,along
-0.18925619,-0.29179105,clouds
-0.007459714,-0.075258926,tidings
-0.118263185,-0.053734194,urging
0.07634662,0.06734362,recommending
-0.09759628,-0.11706583,brief
0.15413769,0.044105276,ring
0.0009547046,-0.034895387,bell
-0.10558873,-0.18576793,cool
-0.11615154,-0.07574669,recover
-0.18517016,-0.28750637,carefully
-0.16709702,-0.12014747,discovery
0.016811987,-0.13561207,shut
-0.15181832,-0.20745525,tete
0.020478524,0.14434063,suspicions
-0.1341032,-0.23930274,quarters
-0.11276482,-0.07797848,restrain
-0.16720805,-0.12032414,gravity
-0.17079327,-0.24131978,seized
-0.17684352,-0.13591431,violent
-0.025659623,0.007392683,declaring
-0.12760682,-0.23019385,hoping
0.0028551747,-0.018991781,fearing
0.0007740548,0.095537685,ardent
-0.016357096,0.003868063,resolved
0.3244765,0.2878615,seriously
0.039216656,0.11249541,apology
-0.020616584,0.066686764,resolve
0.24472997,0.2317435,_me_
-0.10585612,-0.08577274,accent
-0.15185302,-0.17553951,amazement
0.026415452,0.072160795,protested
-0.070874035,0.08822959,suspicion
-0.18953894,-0.236981,slightly
0.05889822,0.10067116,acknowledging
0.10959801,0.01533559,resumed
-0.12216587,-0.16292948,urgent
0.16371152,0.18845941,presumption
-0.06687258,0.0868028,politeness
-0.0817028,0.0099470625,witnessed
0.025785062,0.113770634,professions
0.041508436,0.06420906,dead
0.1365616,0.13434274,alive
0.12306212,0.16132984,misled
0.05822943,0.10299582,sole
-0.12858275,-0.06819585,marking
-0.0063391756,0.110556066,error
0.056916825,0.16389582,attraction
-0.01021149,0.07162313,inequality
-0.089778334,0.040853225,resentment
-0.12170145,-0.071548566,emotions
-0.15306407,-0.11638557,embarrassment
-0.07274577,0.015863363,indispensable
-0.18828182,-0.15017712,irritation
0.017705578,-0.13653225,trembling
0.007399692,0.114359476,solicitous
-0.1244681,-0.042798262,perturbation
-0.10111509,0.023793291,needed
-0.10448059,-0.040406037,blow
-0.17834702,-0.27649155,thick
0.039964236,0.04322677,headed
-0.11502148,-0.1896851,instant
-0.061739482,-0.027793594,indebted
-0.14377287,-0.15246929,start
0.071100764,0.14047475,shewn
-0.043340914,0.060635366,mortifying
0.13858734,0.14652461,respects
-0.15385164,-0.17338055,sunk
-0.15074106,-0.13655004,proposals
-0.20773335,-0.27480435,abundance
-0.01921516,0.049317844,younger
-0.109538354,-0.06382845,ancient
-0.062406432,-0.08012035,belonged
-0.1699461,-0.16347848,sources
-0.030325372,0.03473388,honesty
0.15327485,0.23026767,motive
0.09088453,0.11447082,warrant
-0.18006182,-0.14195022,ordinary
-0.15419398,-0.04639695,observation
0.046018843,0.07164928,trick
-0.1380246,-0.12527074,introducing
0.25567737,0.14443907,william
-0.08398073,-0.04549093,explanation
-0.06891735,0.071670264,future
0.050379287,0.1631155,continuing
-0.12742092,-0.037035067,temporary
-0.1464589,-0.14926453,gloom
-0.04860686,0.008997428,operation
-0.1168424,0.0044854577,softened
0.18309201,0.20487198,disappoint
-0.08531634,-0.11277096,further
-0.10580811,-0.12701362,asunder
-0.11455352,-0.09550378,frost
0.08177464,0.099006094,excuses
0.1908505,0.21870503,wise
0.012565185,0.062998846,seclusion
-0.1485096,-0.27244198,cleared
-0.06244308,-0.18989351,hanging
0.0017465662,-0.12100882,bath
-0.1709891,-0.19058412,compliance
-0.05369408,-0.005522968,regretted
-0.14014198,-0.117785685,impossibility
-0.0891931,-0.078023456,agreeably
-0.21090582,-0.31744,announced
-0.09316007,-0.10741139,pointedly
0.049667105,-0.01634117,solemnity
0.022872891,-0.05828855,recovered
-0.16969392,-0.13332821,penance
0.14642483,0.14769578,destroy
-0.06538923,-0.011877942,confession
-0.13775998,-0.10550197,renewed
-0.0894905,0.015287987,modesty
-0.00451749,0.05752349,attaching
-0.04336824,0.07241887,artless
-0.07640057,0.052552797,dignity
-0.041775726,0.060489025,welfare
-0.025115395,0.019647058,minded
-0.08911818,-0.07422094,discreet
-0.123773746,-0.028378211,promote
-0.058404416,0.025100373,method
-0.16128224,-0.05977525,composure
-0.03814028,0.088702,betraying
-0.050723553,0.06485476,maintained
-0.040164005,-0.06258864,resolutely
-0.07659656,0.03671939,inevitable
-0.15964788,-0.09435694,evident
-0.17423473,-0.13974245,removal
-0.02173312,0.06160221,moderation
-0.10407412,-0.02595556,wound
0.022686342,0.075435616,cure
-0.1792498,-0.19867438,distant
0.11845102,0.09200207,begins
-0.20901544,-0.18663287,restored
-0.053104423,0.016115695,foresaw
0.23301442,0.28096804,suffer
0.1458642,0.22627524,suffered
0.1908068,0.20173503,temptation
-0.15995872,-0.18119878,announce
-0.15329817,-0.24495971,ending
-0.21255437,-0.30043635,perceived
0.02846108,0.045116253,arguments
0.09259019,0.14468922,unnatural
0.118875235,0.12188828,contrived
0.057394553,0.09218053,conceived
-0.04349128,0.003140126,amount
0.043471083,0.0026765184,rid
-0.0667241,0.024971768,unfair
0.12911175,0.16656816,rightly
0.11764379,0.13959368,simply
-0.14509982,-0.108055145,mark
-0.07313603,0.051346794,opposition
0.045429837,0.15672822,situations
0.10387566,0.09223878,provide
-0.06784846,-0.21976975,loud
-0.1674757,-0.27631962,hearts
-0.052622184,0.08962439,principle
-0.21188161,-0.33124253,burst
-0.22406319,-0.28893074,roused
-0.09075808,-0.04491635,opposed
0.01734496,0.14618973,notions
0.10851137,0.107876346,hit
0.031012721,-0.05454247,french
-0.018547472,0.036795177,virtues
-0.12477826,-0.07845794,throughout
0.111019,0.14430843,coxcomb
-0.011696915,0.048349984,enable
0.1769959,0.21802479,require
0.15499419,-0.07401137,king
-0.17452313,-0.14046983,practised
-0.10543568,0.013801024,display
-0.13602647,-0.2977481,puppy
0.10910568,0.13265729,prejudiced
0.018763907,0.0037310794,presumed
-0.10021423,-0.007298087,counteract
-0.044684336,-0.0031326734,waste
-0.17488919,-0.29576412,floor
-0.17000876,-0.20514315,sized
-0.20624979,-0.28626087,apartment
-0.08753893,-0.12664187,cordially
-0.09857944,0.016990028,warmest
-0.03744863,-0.1104239,thanks
0.15247299,0.16973752,coles
-0.104952805,-0.14001736,ball
0.086709075,0.16053249,commendation
-0.12839238,-0.17780921,handsomely
-0.17308836,-0.37290284,jumped
0.13802597,0.08137121,dancing
-0.0034759876,-0.096907996,inquiring
-0.08780903,-0.05810439,unexpected
0.22699268,0.19064763,miss_fairfax
-0.014755565,-0.214302,eagerly
-0.009881224,-0.11858237,hunting
0.2939038,0.16409506,'--
0.3907599,0.28451392,ma_am
0.3263398,0.25819904,god
0.06177332,-0.035068627,spectacles
0.021487555,-0.06971998,handwriting
0.18915343,0.10158963,beautifully
-0.03282162,-0.13643073,twice
-0.0452309,-0.09712172,meanwhile
-0.09318827,-0.016875546,raising
0.16616784,0.18022563,remarkable
0.12236946,0.038242236,friday
0.12009171,0.030418646,saturday
0.22002503,0.226006,colonel_campbell
0.03236212,-0.07790524,tuesday
0.019559609,-0.07487338,wednesday
0.059333507,-0.02875597,campbells
0.0134817995,-0.08676005,ireland
0.17038861,0.10585884,dixon
0.060018428,-0.015585644,impatient
0.35523593,0.3082956,declare
-0.0015601877,0.004140811,press
0.24565114,0.26688343,blame
-0.1657819,-0.13091521,animating
0.049702074,0.063741535,excused
-0.091411985,0.03145982,presence
0.14818588,0.1805343,considerate
0.16989298,0.20059499,unwell
0.06910813,-0.020781144,monday
-0.06710997,0.018541668,drawback
-0.02209507,0.023479322,unlucky
0.33622202,0.25585634,bless
0.3670775,0.21569848,!'
0.022536939,0.060763855,guard
0.036117807,-0.027591506,story
-0.11199243,-0.17967296,glancing
0.06619535,0.050546397,detain
0.016127761,0.036904734,fairfax
0.10869571,0.14212206,fame
-0.12934466,-0.07013351,save
0.094366826,0.1133998,dying
-0.17463806,-0.13099036,action
-0.19073853,-0.28581366,sinking
-0.078738585,-0.045737993,limited
0.053304937,0.1176062,officer
0.10166944,0.1835831,deserving
0.035190854,0.13258725,saved
0.0044505196,-0.031645417,england
-0.18039425,-0.17469977,guest
-0.053700913,-0.10855058,pounds
0.06611659,0.14524648,hereafter
-0.075158,0.07997973,abilities
-0.11179466,-0.0444261,nineteen
-0.025830481,0.043194048,qualified
-0.17520337,-0.1684763,sharing
-0.18922047,-0.2163573,unseen
0.0005551991,-0.15405823,bread
-0.14318587,-0.02364967,fortitude
0.077170275,0.14337017,wiser
-0.093512245,-0.02113846,resisted
-0.18505807,-0.13443726,varying
0.08767616,0.20936128,human
0.2507253,0.24194439,truths
-0.13450047,-0.12925403,double
-0.09257398,0.017358627,recovery
-0.052087087,0.020956136,novelty
-0.1823017,-0.13502587,examination
0.12872761,0.15796685,acquit
0.12320255,0.14424527,reasons
-0.00802504,0.03959422,imputed
0.15192877,0.22307329,injured
-0.052024834,-0.0020146533,fat
0.1897415,0.11869344,grey
-0.05809219,-0.004570297,denied
-0.13024962,-0.03656952,skin
-0.15810442,-0.17676404,colour
0.28223944,0.28477523,admire
-0.1516591,-0.07958608,complacency
-0.182516,-0.31230006,started
0.047828548,0.12114035,pitiable
-0.036325663,0.099503055,actions
-0.112782836,-0.010557685,suggested
0.017433833,-0.017077057,poison
-0.1189724,-0.13264488,resolving
-0.00858161,0.08038798,description
-0.087406136,-0.18220448,ate
-0.22073832,-0.27520666,necessarily
-0.11325281,-0.08207775,affectation
-0.11484134,-0.003955306,performance
-0.15328102,-0.17252468,bent
0.018985767,0.07095694,distinguished
-0.07418419,-0.16111043,changing
-0.11773299,-0.09523159,procure
0.29792306,0.26585355,forgive
-0.0272039,0.06730762,provocation
0.07111523,0.1696571,openly
-0.012198314,-0.06349532,papers
-0.03849934,0.02864005,entertained
0.07682603,0.028168717,instrument
-0.0736134,0.05121542,indulgence
0.18043067,0.22136477,deficient
-0.16258693,-0.29843897,handed
0.06730433,-0.026496533,arch
0.012941339,0.108934015,discretion
-0.09624482,-0.038139857,perseverance
0.2523428,0.1998302,leg
0.33147237,0.26595598,pork
0.09511297,0.056751855,hither
-0.16104598,-0.28087536,sound
-0.1082161,-0.043735985,implied
0.17692043,0.08169755,patty
0.0012845591,-0.070851445,washing
-0.054659337,-0.14453466,kitchen
0.12330728,0.07173497,hawkins
-0.08570783,-0.16501255,thousand
-0.048126787,0.050633654,lot
0.21922527,0.14725485,sly
0.16618836,0.16483429,neighbour
-0.010147521,-0.0127262175,appeal
